Categoria: Todas as categorias

Região,dívida: (08/03/2021 – 08/03/2026),assédio: (08/03/2021 – 08/03/2026),ligações: (08/03/2021 – 08/03/2026),bancos: (08/03/2021 – 08/03/2026),depressão: (08/03/2021 – 08/03/2026)
Distrito Federal,21%,7%,9%,36%,27%
Rondônia,22%,6%,11%,27%,34%
Mato Grosso,23%,5%,10%,30%,32%
Tocantins,20%,6%,10%,30%,34%
Amazonas,19%,6%,12%,28%,35%
São Paulo,19%,5%,9%,37%,30%
Mato Grosso do Sul,20%,6%,9%,32%,33%
Goiás,18%,5%,9%,35%,33%
Rio de Janeiro,19%,6%,9%,32%,34%
Piauí,18%,6%,12%,29%,35%
Maranhão,17%,6%,13%,27%,37%
Espírito Santo,18%,5%,11%,31%,35%
Pará,18%,7%,12%,27%,36%
Sergipe,17%,5%,13%,30%,35%
Bahia,18%,6%,11%,30%,35%
Amapá,17%,9%,12%,26%,36%
Minas Gerais,16%,5%,9%,30%,40%
Paraná,18%,5%,11%,36%,30%
Roraima,18%,7%,13%,27%,35%
Rio Grande do Sul,17%,5%,9%,38%,31%
Rio Grande do Norte,17%,7%,12%,29%,35%
Ceará,16%,7%,12%,30%,35%
Acre,17%,8%,11%,27%,37%
Paraíba,15%,6%,12%,31%,36%
Santa Catarina,17%,5%,10%,36%,32%
Alagoas,15%,7%,12%,30%,36%
Pernambuco,15%,6%,12%,30%,37%
