Categoria: Automóveis e veículos

Região,dívida: (08/03/2021 – 08/03/2026),assédio: (08/03/2021 – 08/03/2026),ligações: (08/03/2021 – 08/03/2026),acessoria: (08/03/2021 – 08/03/2026),depressão: (08/03/2021 – 08/03/2026)
Mato Grosso,40%,51%,3%,3%,3%
São Paulo,37%,54%,3%,3%,3%
Rio de Janeiro,28%,64%,3%,1%,4%
Tocantins,22%,71%,,3%,4%
Mato Grosso do Sul,25%,65%,4%,,6%
Paraná,28%,58%,5%,3%,6%
Rondônia,18%,77%,,,5%
Goiás,23%,65%,4%,3%,5%
Minas Gerais,21%,63%,6%,2%,8%
Amazonas,18%,75%,2%,2%,3%
Espírito Santo,20%,67%,5%,2%,6%
Pará,16%,76%,3%,1%,4%
Distrito Federal,14%,78%,1%,2%,5%
Santa Catarina,21%,64%,5%,4%,6%
Bahia,18%,72%,3%,1%,6%
Ceará,17%,74%,3%,1%,5%
Rio Grande do Sul,21%,64%,6%,3%,6%
Pernambuco,15%,75%,3%,1%,6%
Rio Grande do Norte,14%,74%,3%,2%,7%
Piauí,13%,76%,4%,,7%
Alagoas,12%,79%,3%,,6%
Sergipe,12%,82%,,,6%
Maranhão,10%,80%,4%,,6%
Amapá,8%,92%,,,
Paraíba,10%,79%,2%,2%,7%
Roraima,,100%,,,
Acre,,100%,,,
