Categoria: Todas as categorias

Semana,dívida: (Brasil),assédio: (Brasil),ligações: (Brasil),bancos: (Brasil),depressão: (Brasil)
2021-03-07,16,5,12,46,45
2021-03-14,16,6,13,50,45
2021-03-21,15,6,12,58,44
2021-03-28,15,5,11,56,44
2021-04-04,16,6,12,41,45
2021-04-11,16,6,14,33,45
2021-04-18,16,6,12,41,44
2021-04-25,17,6,13,31,46
2021-05-02,16,5,14,33,43
2021-05-09,16,5,14,30,45
2021-05-16,16,5,14,29,46
2021-05-23,17,6,14,30,46
2021-05-30,17,8,13,55,47
2021-06-06,17,9,14,32,46
2021-06-13,18,6,16,30,44
2021-06-20,17,6,16,33,45
2021-06-27,16,5,14,31,38
2021-07-04,16,6,14,35,38
2021-07-11,16,6,11,31,42
2021-07-18,16,6,10,34,40
2021-07-25,15,7,10,29,39
2021-08-01,16,6,12,30,43
2021-08-08,17,7,13,29,45
2021-08-15,18,6,15,30,47
2021-08-22,18,8,15,33,41
2021-08-29,18,7,15,46,49
2021-09-05,17,6,13,57,48
2021-09-12,17,7,16,30,54
2021-09-19,17,7,16,30,52
2021-09-26,18,8,16,28,53
2021-10-03,16,6,14,32,44
2021-10-10,14,6,11,49,43
2021-10-17,16,6,12,31,45
2021-10-24,17,7,14,34,41
2021-10-31,14,6,11,48,41
2021-11-07,16,7,13,28,38
2021-11-14,15,9,12,26,41
2021-11-21,17,8,15,26,37
2021-11-28,19,6,14,28,37
2021-12-05,18,5,13,30,34
2021-12-12,16,6,11,26,32
2021-12-19,14,4,7,42,32
2021-12-26,13,4,6,48,31
2022-01-02,20,4,8,32,37
2022-01-09,20,4,8,30,36
2022-01-16,17,4,9,31,34
2022-01-23,20,4,8,50,41
2022-01-30,20,5,10,37,39
2022-02-06,21,5,11,35,40
2022-02-13,19,6,13,58,43
2022-02-20,21,6,13,64,43
2022-02-27,17,6,11,100,43
2022-03-06,21,7,15,49,43
2022-03-13,21,7,15,45,46
2022-03-20,20,7,16,42,46
2022-03-27,21,8,17,37,46
2022-04-03,20,8,17,37,48
2022-04-10,18,7,13,43,45
2022-04-17,18,6,14,56,45
2022-04-24,19,7,15,34,49
2022-05-01,21,8,15,37,47
2022-05-08,20,9,15,33,48
2022-05-15,19,9,15,31,44
2022-05-22,20,8,16,29,47
2022-05-29,20,7,15,33,47
2022-06-05,20,6,17,35,46
2022-06-12,19,6,15,50,44
2022-06-19,19,7,16,32,51
2022-06-26,19,11,15,29,58
2022-07-03,19,9,14,30,43
2022-07-10,18,7,17,35,43
2022-07-17,19,7,13,29,45
2022-07-24,19,7,12,35,42
2022-07-31,19,7,13,39,45
2022-08-07,17,7,13,41,42
2022-08-14,18,10,15,37,46
2022-08-21,20,8,17,34,48
2022-08-28,20,8,16,34,49
2022-09-04,18,9,13,33,53
2022-09-11,19,9,17,31,59
2022-09-18,19,8,16,35,61
2022-09-25,19,7,16,38,52
2022-10-02,18,6,12,38,39
2022-10-09,20,7,11,58,43
2022-10-16,20,9,13,51,47
2022-10-23,26,11,13,42,43
2022-10-30,21,6,12,34,37
2022-11-06,21,8,13,38,42
2022-11-13,18,6,14,45,44
2022-11-20,16,6,14,34,40
2022-11-27,16,6,13,42,39
2022-12-04,17,7,12,49,33
2022-12-11,17,6,12,28,35
2022-12-18,14,5,9,30,34
2022-12-25,16,4,8,57,30
2023-01-01,18,5,8,39,30
2023-01-08,18,5,8,30,36
2023-01-15,17,5,7,36,39
2023-01-22,17,6,8,34,39
2023-01-29,19,7,8,31,36
2023-02-05,18,8,9,35,38
2023-02-12,23,7,10,51,39
2023-02-19,17,6,9,67,37
2023-02-26,21,8,10,41,40
2023-03-05,19,10,12,50,42
2023-03-12,19,18,11,66,41
2023-03-19,19,13,13,39,42
2023-03-26,19,14,13,38,43
2023-04-02,17,9,11,44,40
2023-04-09,17,11,13,34,41
2023-04-16,18,9,13,32,44
2023-04-23,18,10,13,30,41
2023-04-30,17,9,12,30,41
2023-05-07,17,8,13,27,41
2023-05-14,17,9,13,27,40
2023-05-21,19,9,14,28,42
2023-05-28,19,8,14,28,40
2023-06-04,18,7,12,48,37
2023-06-11,18,9,14,30,39
2023-06-18,18,8,14,32,40
2023-06-25,19,8,13,30,37
2023-07-02,19,7,12,28,36
2023-07-09,19,7,9,26,30
2023-07-16,20,7,9,30,29
2023-07-23,19,7,9,31,30
2023-07-30,18,8,11,27,33
2023-08-06,17,8,12,31,36
2023-08-13,17,8,13,27,34
2023-08-20,16,8,13,25,37
2023-08-27,17,8,14,27,38
2023-09-03,16,7,11,45,39
2023-09-10,17,7,14,27,45
2023-09-17,19,8,14,25,48
2023-09-24,18,7,13,28,41
2023-10-01,18,7,12,26,34
2023-10-08,17,6,10,40,32
2023-10-15,19,7,13,29,37
2023-10-22,18,7,13,31,38
2023-10-29,19,6,11,40,38
2023-11-05,20,7,12,26,35
2023-11-12,18,6,11,29,31
2023-11-19,21,6,12,30,35
2023-11-26,22,7,12,28,32
2023-12-03,18,6,11,29,31
2023-12-10,20,6,11,29,32
2023-12-17,19,5,8,29,24
2023-12-24,16,5,6,60,28
2023-12-31,18,4,7,35,28
2024-01-07,20,5,7,31,29
2024-01-14,18,5,8,29,28
2024-01-21,20,5,9,29,27
2024-01-28,22,5,8,36,25
2024-02-04,20,6,9,49,27
2024-02-11,17,5,8,67,26
2024-02-18,20,6,10,28,26
2024-02-25,19,7,10,27,28
2024-03-03,22,7,11,30,27
2024-03-10,20,7,11,30,28
2024-03-17,20,9,11,29,27
2024-03-24,20,7,11,38,25
2024-03-31,21,7,13,29,29
2024-04-07,19,7,13,27,30
2024-04-14,20,7,12,27,26
2024-04-21,21,9,12,30,30
2024-04-28,20,9,11,29,28
2024-05-05,19,7,11,29,27
