Categoria: Automóveis e veículos

Semana,dívida: (Brasil),assédio: (Brasil),ligações: (Brasil),ASSESSORIA: (Brasil),depressão: (Brasil)
2021-03-07,14,34,0,0,0
2021-03-14,15,33,0,0,5
2021-03-21,12,33,0,6,5
2021-03-28,14,29,0,0,0
2021-04-04,18,37,0,0,0
2021-04-11,16,33,0,5,5
2021-04-18,14,32,0,0,0
2021-04-25,19,29,4,6,0
2021-05-02,10,34,0,0,0
2021-05-09,16,28,0,0,5
2021-05-16,17,35,0,0,6
2021-05-23,14,40,0,7,5
2021-05-30,18,41,0,0,0
2021-06-06,15,49,4,4,6
2021-06-13,19,39,0,7,4
2021-06-20,14,34,0,6,0
2021-06-27,13,29,0,0,5
2021-07-04,15,50,0,6,4
2021-07-11,18,47,0,4,0
2021-07-18,15,32,0,4,4
2021-07-25,14,36,0,5,0
2021-08-01,17,37,0,0,6
2021-08-08,15,43,0,0,4
2021-08-15,17,44,0,6,5
2021-08-22,17,48,0,0,6
2021-08-29,14,45,4,0,0
2021-09-05,17,37,0,5,0
2021-09-12,17,34,0,5,0
2021-09-19,11,46,0,5,5
2021-09-26,13,51,0,0,6
2021-10-03,11,45,0,0,5
2021-10-10,12,38,0,0,0
2021-10-17,14,40,0,0,0
2021-10-24,12,46,0,5,0
2021-10-31,13,42,0,5,0
2021-11-07,13,46,0,0,0
2021-11-14,10,62,0,0,0
2021-11-21,12,48,0,0,0
2021-11-28,14,38,0,0,5
2021-12-05,13,27,0,0,0
2021-12-12,14,35,0,6,0
2021-12-19,17,19,0,0,0
2021-12-26,22,17,0,0,0
2022-01-02,29,27,0,0,0
2022-01-09,18,24,0,0,0
2022-01-16,22,26,0,5,0
2022-01-23,19,34,0,6,0
2022-01-30,18,30,0,0,0
2022-02-06,16,32,0,7,0
2022-02-13,26,39,0,7,5
2022-02-20,19,35,0,8,0
2022-02-27,19,32,0,7,4
2022-03-06,18,40,0,4,4
2022-03-13,17,49,0,7,4
2022-03-20,15,51,0,4,4
2022-03-27,18,56,0,5,3
2022-04-03,16,48,0,5,4
2022-04-10,14,39,0,4,0
2022-04-17,15,35,0,0,5
2022-04-24,16,47,3,5,4
2022-05-01,15,52,0,5,8
2022-05-08,17,52,0,0,0
2022-05-15,16,45,0,4,5
2022-05-22,15,50,0,0,4
2022-05-29,18,44,0,0,0
2022-06-05,16,43,0,5,7
2022-06-12,13,36,0,0,4
2022-06-19,14,52,0,4,5
2022-06-26,18,59,0,6,5
2022-07-03,18,60,0,5,4
2022-07-10,16,40,0,4,4
2022-07-17,15,44,0,0,0
2022-07-24,17,47,4,0,4
2022-07-31,14,44,3,4,4
2022-08-07,12,43,0,0,0
2022-08-14,14,49,0,5,0
2022-08-21,13,53,0,4,5
2022-08-28,12,49,0,4,5
2022-09-04,11,55,0,4,5
2022-09-11,14,51,0,5,6
2022-09-18,12,49,6,0,4
2022-09-25,13,45,0,0,7
2022-10-02,13,36,0,0,5
2022-10-09,14,48,0,4,0
2022-10-16,10,53,0,4,6
2022-10-23,11,66,0,4,4
2022-10-30,8,42,0,4,4
2022-11-06,13,47,5,4,5
2022-11-13,11,44,0,0,0
2022-11-20,10,40,0,0,0
2022-11-27,10,40,0,0,4
2022-12-04,11,46,0,0,0
2022-12-11,9,41,0,0,0
2022-12-18,11,30,0,4,5
2022-12-25,16,25,0,0,0
2023-01-01,25,31,0,4,0
2023-01-08,18,29,0,5,0
2023-01-15,11,26,0,4,0
2023-01-22,12,34,4,5,5
2023-01-29,16,63,0,6,0
2023-02-05,21,47,0,4,0
2023-02-12,100,48,0,4,4
2023-02-19,37,36,0,4,0
2023-02-26,37,45,0,6,0
2023-03-05,18,59,0,4,0
2023-03-12,26,84,0,6,0
2023-03-19,20,67,3,6,0
2023-03-26,16,84,0,0,8
2023-04-02,21,59,0,5,4
2023-04-09,16,64,0,4,5
2023-04-16,16,54,0,5,0
2023-04-23,14,60,3,4,0
2023-04-30,16,54,0,5,6
2023-05-07,11,59,0,5,0
2023-05-14,14,55,0,0,6
2023-05-21,16,55,0,3,3
2023-05-28,15,52,0,5,3
2023-06-04,16,41,0,4,5
2023-06-11,17,62,0,5,5
2023-06-18,14,49,0,0,5
2023-06-25,17,50,5,0,5
2023-07-02,18,47,0,0,0
2023-07-09,15,37,4,6,0
2023-07-16,13,38,0,5,0
2023-07-23,13,43,0,6,0
2023-07-30,15,47,0,4,4
2023-08-06,14,45,0,4,0
2023-08-13,12,50,0,4,0
2023-08-20,13,51,0,5,4
2023-08-27,14,50,0,5,4
2023-09-03,11,44,0,0,7
2023-09-10,14,46,4,6,5
2023-09-17,13,45,0,5,4
2023-09-24,12,43,0,0,5
2023-10-01,13,41,0,7,0
2023-10-08,12,43,0,5,0
2023-10-15,13,47,0,8,4
2023-10-22,17,41,0,0,4
2023-10-29,14,39,0,0,0
2023-11-05,16,39,0,4,0
2023-11-12,9,42,0,5,0
2023-11-19,18,40,0,7,0
2023-11-26,15,44,0,4,0
2023-12-03,16,46,4,0,4
2023-12-10,17,41,0,5,4
2023-12-17,22,37,0,7,0
2023-12-24,19,30,0,0,0
2023-12-31,15,26,0,6,0
2024-01-07,23,26,0,7,0
2024-01-14,15,27,0,5,5
2024-01-21,14,33,0,7,4
2024-01-28,14,28,0,0,0
