Categoria: Todas as categorias

Semana,dívida: (Brasil),assédio: (Brasil),ligações: (Brasil),acessoria: (Brasil),depressão: (Brasil)
2021-03-07,26,9,19,7,74
2021-03-14,26,10,21,7,73
2021-03-21,25,10,20,7,72
2021-03-28,25,8,18,6,73
2021-04-04,27,10,20,6,74
2021-04-11,27,11,24,7,73
2021-04-18,26,10,20,6,73
2021-04-25,28,9,22,7,76
2021-05-02,27,9,22,7,71
2021-05-09,26,8,24,7,75
2021-05-16,27,8,23,7,76
2021-05-23,28,10,24,7,76
2021-05-30,27,13,22,6,77
2021-06-06,28,15,23,7,76
2021-06-13,29,10,26,7,72
2021-06-20,27,9,26,6,74
2021-06-27,26,8,22,6,62
2021-07-04,26,10,23,6,62
2021-07-11,27,10,19,6,70
2021-07-18,26,10,16,6,66
2021-07-25,25,11,17,6,65
2021-08-01,26,10,20,7,71
2021-08-08,27,12,22,7,74
2021-08-15,29,11,24,7,77
2021-08-22,29,13,25,7,68
2021-08-29,29,11,25,7,80
2021-09-05,27,9,21,7,79
2021-09-12,28,12,26,7,88
2021-09-19,28,12,26,7,86
2021-09-26,29,14,27,6,87
2021-10-03,27,10,23,7,73
2021-10-10,23,9,18,6,71
2021-10-17,27,10,21,6,74
2021-10-24,28,12,23,7,68
2021-10-31,23,11,18,8,67
2021-11-07,27,12,22,7,62
2021-11-14,25,14,20,6,67
2021-11-21,27,12,25,7,61
2021-11-28,31,9,23,6,61
2021-12-05,29,8,21,6,56
2021-12-12,26,9,18,6,52
2021-12-19,23,7,12,5,52
2021-12-26,22,6,10,4,51
2022-01-02,32,7,12,8,61
2022-01-09,32,6,14,8,58
2022-01-16,29,7,14,7,56
2022-01-23,33,7,13,6,68
2022-01-30,33,8,16,7,65
2022-02-06,35,8,19,7,66
2022-02-13,31,9,21,7,70
2022-02-20,34,9,22,7,70
2022-02-27,29,9,19,6,71
2022-03-06,35,11,25,7,71
2022-03-13,35,12,25,7,76
2022-03-20,33,12,26,7,75
2022-03-27,34,14,27,7,76
2022-04-03,32,14,29,6,79
2022-04-10,30,11,22,6,73
2022-04-17,29,10,22,6,75
2022-04-24,31,12,25,8,81
2022-05-01,35,12,25,6,77
2022-05-08,32,15,25,6,80
2022-05-15,31,15,25,6,73
2022-05-22,33,13,26,7,77
2022-05-29,33,11,24,7,77
2022-06-05,32,10,27,7,76
2022-06-12,31,9,24,6,72
2022-06-19,32,12,26,7,83
2022-06-26,31,19,25,6,95
2022-07-03,32,14,23,6,70
2022-07-10,29,12,28,6,70
2022-07-17,32,12,21,7,74
2022-07-24,31,11,20,7,68
2022-07-31,31,11,21,6,74
2022-08-07,28,11,22,7,69
2022-08-14,30,16,24,7,76
2022-08-21,33,14,28,7,79
2022-08-28,33,13,26,6,81
2022-09-04,30,15,21,6,86
2022-09-11,32,14,27,6,97
2022-09-18,31,12,26,7,100
2022-09-25,32,12,26,6,85
2022-10-02,30,10,19,6,64
2022-10-09,32,12,18,6,71
2022-10-16,32,16,22,6,77
2022-10-23,42,18,22,7,71
2022-10-30,35,10,19,5,62
2022-11-06,35,12,22,6,69
2022-11-13,29,10,23,6,72
2022-11-20,26,10,23,6,66
2022-11-27,27,9,22,6,64
2022-12-04,28,12,19,5,54
2022-12-11,28,10,19,6,58
2022-12-18,24,8,15,6,56
2022-12-25,26,7,13,4,50
2023-01-01,29,8,13,6,50
2023-01-08,30,8,13,7,59
2023-01-15,28,9,12,8,64
2023-01-22,29,10,13,7,65
2023-01-29,32,12,13,8,58
2023-02-05,30,12,15,8,62
2023-02-12,38,12,16,7,64
2023-02-19,28,11,14,6,61
2023-02-26,34,13,17,7,65
2023-03-05,31,16,19,7,69
2023-03-12,31,30,19,7,68
2023-03-19,31,22,21,8,69
2023-03-26,31,22,21,7,71
2023-04-02,28,15,19,6,66
2023-04-09,28,18,22,8,67
2023-04-16,30,14,21,7,72
2023-04-23,30,16,22,7,67
2023-04-30,27,14,19,7,67
2023-05-07,28,14,21,7,67
2023-05-14,28,15,22,7,66
2023-05-21,31,15,23,34,69
2023-05-28,32,14,23,9,65
2023-06-04,29,11,20,6,61
2023-06-11,30,14,23,7,65
2023-06-18,30,14,23,7,65
2023-06-25,32,13,21,7,61
2023-07-02,31,11,20,7,58
2023-07-09,31,12,15,7,50
2023-07-16,34,11,15,8,48
2023-07-23,32,11,15,7,49
2023-07-30,29,12,17,7,54
2023-08-06,27,13,19,7,58
2023-08-13,29,13,21,7,56
2023-08-20,27,13,22,7,60
2023-08-27,28,13,23,7,62
2023-09-03,27,12,19,6,64
2023-09-10,29,12,23,7,74
2023-09-17,31,13,23,7,79
2023-09-24,30,12,22,7,67
2023-10-01,29,11,19,7,57
2023-10-08,28,11,17,7,52
2023-10-15,30,11,21,7,60
2023-10-22,30,11,21,7,62
2023-10-29,31,10,18,6,62
2023-11-05,33,11,20,7,57
2023-11-12,30,10,18,7,50
2023-11-19,34,11,20,6,57
2023-11-26,36,11,20,7,53
2023-12-03,29,10,18,7,51
2023-12-10,32,10,18,7,53
2023-12-17,31,8,13,6,40
2023-12-24,26,8,10,5,46
2023-12-31,30,7,11,6,46
2024-01-07,32,8,12,8,48
2024-01-14,30,8,13,8,45
2024-01-21,32,8,14,8,45
2024-01-28,36,8,14,8,42
2024-02-04,33,9,14,8,45
2024-02-11,28,9,13,7,43
2024-02-18,33,10,16,9,43
2024-02-25,32,11,17,8,45
2024-03-03,36,12,18,8,44
2024-03-10,33,11,18,8,46
2024-03-17,34,14,18,8,45
2024-03-24,32,11,17,7,41
2024-03-31,34,11,21,9,47
2024-04-07,32,12,21,9,50
2024-04-14,34,11,20,9,43
2024-04-21,35,14,19,8,49
2024-04-28,33,14,18,8,46
2024-05-05,32,11,19,8,44
2024-05-12,39,12,21,9,47
2024-05-19,36,12,21,9,47
2024-05-26,31,12,18,7,48
2024-06-02,36,10,23,8,47
2024-06-09,34,11,21,8,48
2024-06-16,35,11,22,8,44
2024-06-23,33,9,20,8,42
2024-06-30,33,8,17,8,41
2024-07-07,32,9,16,7,42
2024-07-14,35,8,15,8,40
2024-07-21,31,9,16,8,40
2024-07-28,32,9,17,9,41
2024-08-04,30,9,19,13,42
2024-08-11,32,10,20,9,41
2024-08-18,32,11,22,8,51
2024-08-25,32,10,24,8,53
2024-09-01,35,18,21,9,53
2024-09-08,35,14,23,9,66
2024-09-15,32,23,21,8,57
2024-09-22,35,13,22,8,55
2024-09-29,32,12,21,8,49
2024-10-06,31,11,17,8,43
2024-10-13,39,10,18,8,49
2024-10-20,35,12,18,8,46
2024-10-27,36,12,19,8,48
2024-11-03,38,11,21,8,46
2024-11-10,36,9,19,8,45
2024-11-17,34,9,19,8,46
2024-11-24,41,10,20,8,43
2024-12-01,41,9,20,9,40
2024-12-08,41,9,18,8,40
2024-12-15,39,8,14,8,38
2024-12-22,28,6,12,5,37
2024-12-29,29,5,10,7,38
2025-01-05,39,7,13,10,38
2025-01-12,46,7,13,9,38
2025-01-19,38,8,13,10,41
2025-01-26,39,9,14,10,43
2025-02-02,36,8,14,10,40
2025-02-09,35,9,15,10,40
2025-02-16,38,9,16,9,42
2025-02-23,38,10,18,10,43
2025-03-02,33,8,13,8,42
2025-03-09,40,9,17,9,44
2025-03-16,37,10,18,10,47
2025-03-23,40,12,20,9,51
2025-03-30,39,11,19,9,42
2025-04-06,38,9,19,9,47
2025-04-13,33,9,17,8,48
2025-04-20,35,9,17,8,44
2025-04-27,38,9,18,8,43
2025-05-04,38,11,19,9,44
2025-05-11,37,10,19,9,50
2025-05-18,36,10,19,9,40
2025-05-25,38,10,18,9,46
2025-06-01,39,9,21,9,47
2025-06-08,38,9,23,9,43
2025-06-15,32,8,18,8,40
2025-06-22,36,8,18,8,40
2025-06-29,39,8,16,8,38
2025-07-06,44,8,16,9,43
2025-07-13,41,8,16,9,40
2025-07-20,43,8,15,9,43
2025-07-27,42,8,17,9,39
2025-08-03,38,9,18,9,45
2025-08-10,46,10,20,9,48
2025-08-17,45,10,20,9,51
2025-08-24,45,9,21,9,45
2025-08-31,42,9,19,9,49
2025-09-07,48,9,21,8,50
2025-09-14,40,11,22,8,45
2025-09-21,45,12,23,8,51
2025-09-28,43,9,20,8,45
2025-10-05,46,9,19,8,43
2025-10-12,45,9,19,8,44
2025-10-19,43,9,20,8,44
2025-10-26,46,9,19,8,41
2025-11-02,48,12,18,8,43
2025-11-09,47,10,20,8,42
2025-11-16,45,10,17,7,43
2025-11-23,48,8,18,7,41
2025-11-30,54,9,19,7,40
2025-12-07,48,8,17,7,38
2025-12-14,46,8,15,7,35
2025-12-21,47,6,11,5,36
2025-12-28,44,6,11,5,36
2026-01-04,54,7,15,9,38
2026-01-11,52,7,15,8,36
2026-01-18,63,17,16,8,37
2026-01-25,66,9,15,9,40
2026-02-01,63,10,16,8,37
2026-02-08,57,11,16,8,37
2026-02-15,53,9,15,7,43
2026-02-22,59,9,18,10,47
2026-03-01,60,12,18,9,43
2026-03-08,33,17,11,3,46
